id,name,position,start_date,end_date,type
cfe76c90-a178-485c-8178-b6d359bcd15f,KAWABATA Tatsuo,Minister of Internal Affairs and Communications,2011-09-02,2012-10-01,cabinet
cfe76c90-a178-485c-8178-b6d359bcd15f,KAWABATA Tatsuo,"Minister of Education, Culture, Sports, Science and Technology of Japan",2009-09-16,2010-09-17,cabinet
86330871-8024-425a-a362-909b6ffc67a3,HAMADA Yasukazu,Minister of Defense of Japan,2008-09-24,2009-09-16,cabinet
46f8fb1e-a5df-4ae4-bbb8-5db24de9079b,TOKAI Kisaburo,"Minister of Education, Culture, Sports, Science and Technology of Japan",2007-09-26,2008-08-02,cabinet
05eb9daf-303b-49dc-9804-9b8f1e7facef,SATO Tsutomu,Minister of State for Decentralization Reform,2009-06-12,2009-09-16,cabinet
05eb9daf-303b-49dc-9804-9b8f1e7facef,SATO Tsutomu,Minister of State for Okinawa and Northern Territories Affairs,2008-09-24,2009-07-02,cabinet
05eb9daf-303b-49dc-9804-9b8f1e7facef,SATO Tsutomu,Minister of State for Disaster Management,2008-09-24,2009-07-02,cabinet
05eb9daf-303b-49dc-9804-9b8f1e7facef,SATO Tsutomu,Minister of Internal Affairs and Communications,2009-06-12,2009-09-16,cabinet
20f71af5-acc6-48c2-98b8-a73c16455cbf,NUKAGA Fukushiro,Minister of Finance,2007-08-27,2008-08-02,cabinet
9a51ab77-b98e-469d-9417-a4b8eaadc4a5,SUGA Yoshihide,Chief Cabinet Secretary,2012-12-26,,cabinet
9a51ab77-b98e-469d-9417-a4b8eaadc4a5,SUGA Yoshihide,Minister of Internal Affairs and Communications,2006-09-26,2007-08-27,cabinet
6d563c9d-52ef-409c-ba08-b12410c5f3e2,MATSUMOTO Takeaki,Minister for Foreign Affairs,2011-03-09,2011-09-02,cabinet
057f0268-8566-4f5a-8087-302b6ce53339,MAEHARA Seiji,Minister of State for the Nuclear Power Policy and Administration,2012-10-01,2012-12-26,cabinet
057f0268-8566-4f5a-8087-302b6ce53339,MAEHARA Seiji,Minister of State for Space Policy,2012-10-01,2012-12-26,cabinet
057f0268-8566-4f5a-8087-302b6ce53339,MAEHARA Seiji,Minister of State for Science and Technology Policy,2012-10-01,2012-12-26,cabinet
057f0268-8566-4f5a-8087-302b6ce53339,MAEHARA Seiji,Minister of State for Economic and Fiscal Policy,2012-10-01,2012-12-26,cabinet
057f0268-8566-4f5a-8087-302b6ce53339,MAEHARA Seiji,Minister of State for Disaster Management,2009-09-16,2010-01-12,cabinet
057f0268-8566-4f5a-8087-302b6ce53339,MAEHARA Seiji,Minister for Foreign Affairs,2010-09-17,2011-03-07,cabinet
057f0268-8566-4f5a-8087-302b6ce53339,MAEHARA Seiji,"Minister of Land, Infrastructure, Transport and Tourism",2009-09-16,2010-09-17,cabinet
b6b32362-4267-44bf-83a4-9c47c299963c,ABE Shinzo,Chief Cabinet Secretary,2005-10-31,2006-09-26,cabinet
b6b32362-4267-44bf-83a4-9c47c299963c,ABE Shinzo,Prime Minister of Japan,2006-09-26,2007-09-26,cabinet
b6b32362-4267-44bf-83a4-9c47c299963c,ABE Shinzo,Prime Minister of Japan,2012-12-26,,cabinet
3c134282-5a10-45e7-8c39-7bc2af4cb88e,ASO Taro,Minister of Internal Affairs and Communications,2003-09-22,2005-10-31,cabinet
3c134282-5a10-45e7-8c39-7bc2af4cb88e,ASO Taro,Deputy Prime Minister of Japan,2012-12-26,,cabinet
3c134282-5a10-45e7-8c39-7bc2af4cb88e,ASO Taro,Prime Minister of Japan,2008-09-24,2009-09-16,cabinet
3c134282-5a10-45e7-8c39-7bc2af4cb88e,ASO Taro,Minister of Finance,"",,cabinet
33c901a2-9c8e-4d62-989d-8ca002fd29c5,ISHIBA Shigeru,Minister of State for the National Strategic Special Zones,2014-09-03,2015-10-07,cabinet
33c901a2-9c8e-4d62-989d-8ca002fd29c5,ISHIBA Shigeru,Minister of State for the Promotion of Overcoming Population Decline and Vitalizing Local Economy in Japan,2015-10-07,2016-08-03,cabinet
33c901a2-9c8e-4d62-989d-8ca002fd29c5,ISHIBA Shigeru,Minister of Defense of Japan,2007-09-26,2008-08-02,cabinet
33c901a2-9c8e-4d62-989d-8ca002fd29c5,ISHIBA Shigeru,"Minister of Agriculture, Forestry and Fisheries",2008-09-24,2009-09-16,cabinet
41aec53f-def4-4339-b29c-dd9bbc899901,INADA Tomomi,Minister of Defense of Japan,2016-08-03,,cabinet
2cf8f268-4a78-40ef-a83c-9cb99ff4ebf3,SHIMOMURA Hakubun,"Minister of Education, Culture, Sports, Science and Technology of Japan",2012-12-26,2015-10-07,cabinet
e00a1313-90be-43a5-809f-2fca980e465f,TAMURA Norihisa,"Minister of Health, Labour and Welfare",2012-12-26,2014-09-03,cabinet
83ddbe5e-27db-402a-a2de-dbd5febd66ce,KAWASAKI Jiro,"Minister of Health, Labour and Welfare",2005-10-31,2006-09-26,cabinet
75a7011d-14ae-4f60-9f94-65add0901587,TAKAICHI Sanae,Minister of Internal Affairs and Communications,2014-09-03,,cabinet
691e3595-d158-4d19-8966-3eb36638194d,NAKAGAWA Masaharu,"Minister of Education, Culture, Sports, Science and Technology of Japan",2011-09-02,2012-01-13,cabinet
9a6b604b-7c3c-4db0-9cb4-8c789dd85e52,AZUMI Jun,Minister of Finance,2011-09-02,2012-10-01,cabinet
7ea3d69d-fbf0-4c4a-a813-9cceb3ea31eb,KOIKE Yuriko,Minister of the Environment,"",,cabinet
7ea3d69d-fbf0-4c4a-a813-9cceb3ea31eb,KOIKE Yuriko,Minister of Defense of Japan,2007-07-04,2007-08-27,cabinet
312d82d6-bf86-4e58-95e8-7936933d6b7b,NAGATSUMA Akira,"Minister of Health, Labour and Welfare",2009-09-16,2010-09-17,cabinet
6b9aacdb-34cc-4789-8598-ed7155f8c2d4,HASE Hiroshi,"Minister of Education, Culture, Sports, Science and Technology of Japan",2015-10-07,2016-08-03,cabinet
3be1185a-8bd7-409e-8c68-e3158e9cb91d,KISHIDA Fumio,"Minister of State for ""Challenge Again"" Initiative",2007-08-27,2007-09-26,cabinet
3be1185a-8bd7-409e-8c68-e3158e9cb91d,KISHIDA Fumio,Minister of State for Okinawa and Northern Territories Affairs,2007-08-27,2008-08-02,cabinet
3be1185a-8bd7-409e-8c68-e3158e9cb91d,KISHIDA Fumio,Minister of State for Science and Technology Policy,2007-08-27,2008-08-02,cabinet
3be1185a-8bd7-409e-8c68-e3158e9cb91d,KISHIDA Fumio,Minister of State for Regulatory Reform,2007-08-27,2008-08-02,cabinet
3be1185a-8bd7-409e-8c68-e3158e9cb91d,KISHIDA Fumio,Minister for Foreign Affairs,2012-12-26,,cabinet
3be1185a-8bd7-409e-8c68-e3158e9cb91d,KISHIDA Fumio,Minister of State for Quality-of-Life Policy,2007-08-27,2008-09-01,cabinet
5cd49b83-cae1-4684-9c12-3af862bf82ed,SHIOZAKI Yasuhisa,"Minister of Health, Labour and Welfare",2014-09-03,,cabinet
007e2041-6cd0-4ca1-9b3b-d622315eb432,KAWAMURA Takeo,"Minister of Education, Culture, Sports, Science and Technology of Japan",2003-09-22,2004-09-27,cabinet
0a1e6b19-3a9d-4121-986d-8333eecd9499,OZAWA Ichiro,Minister of Home Affairs,"",,cabinet
0e187ffa-87d9-4795-a10e-5fed486f118d,TANIGAKI Sadakazu,Minister of State for Industrial Revitalization Corporation of Japan,2003-04-10,2003-09-22,cabinet
0e187ffa-87d9-4795-a10e-5fed486f118d,TANIGAKI Sadakazu,Minister of State for Food Safety,2003-07-01,2003-09-22,cabinet
0e187ffa-87d9-4795-a10e-5fed486f118d,TANIGAKI Sadakazu,Minister of Finance,2003-09-22,2006-09-26,cabinet
0e187ffa-87d9-4795-a10e-5fed486f118d,TANIGAKI Sadakazu,Minister of Justice,2012-12-26,2014-09-03,cabinet
0e187ffa-87d9-4795-a10e-5fed486f118d,TANIGAKI Sadakazu,"Minister of Land, Infrastructure, Transport and Tourism",2008-08-02,2008-09-24,cabinet
92777fb2-2d8d-4bde-a85e-e44a022c1af0,TAKAKI Yoshiaki,"Minister of Education, Culture, Sports, Science and Technology of Japan",2010-09-17,2011-09-02,cabinet
5744afad-f1dd-4f03-a2dc-137032c9f775,KAN Naoto,Deputy Prime Minister of Japan,2009-09-16,2010-06-08,cabinet
5744afad-f1dd-4f03-a2dc-137032c9f775,KAN Naoto,Prime Minister of Japan,2010-06-08,2011-09-02,cabinet
5744afad-f1dd-4f03-a2dc-137032c9f775,KAN Naoto,Minister of Finance,2010-01-06,2010-06-08,cabinet
aab89821-c00a-457e-9d5e-336522aada7c,OSHIMA Tadamori,"Minister of Agriculture, Forestry and Fisheries",2002-09-30,2003-04-01,cabinet
609751cb-012b-4856-9ab3-2cdea3977051,ETO Akinori,Minister of Defense of Japan,2014-09-03,2014-12-24,cabinet
eb537672-a848-492e-8689-236cbabf5919,OKADA Katsuya,Minister for Foreign Affairs,"",,cabinet
eb537672-a848-492e-8689-236cbabf5919,OKADA Katsuya,Deputy Prime Minister of Japan,2012-01-13,2012-12-26,cabinet
78798608-8cb0-4531-add6-9bbf99edd2f5,SHINDO Yoshitaka,Minister of Internal Affairs and Communications,2012-12-26,2014-09-03,cabinet
11794a81-d7f1-4b98-82d6-6ede427c5a67,HARAGUCHI Kazuhiro,Minister of Internal Affairs and Communications,2009-09-16,2010-09-17,cabinet
7dfc09b4-a57d-49e1-b759-e647816121ae,NAKATANI Gen,Minister of Defense of Japan,2014-12-24,2016-08-03,cabinet
100e754b-6551-48a4-860a-c496cfa00688,NODA Yoshihiko,Prime Minister of Japan,2011-09-02,2012-12-26,cabinet
100e754b-6551-48a4-860a-c496cfa00688,NODA Yoshihiko,Minister of Finance,2010-06-08,2011-09-02,cabinet
41ecbfa9-cccd-4259-b1c8-f21fea9d289d,MATSUNO Hirokazu,"Minister of Education, Culture, Sports, Science and Technology of Japan",2016-08-03,,cabinet
272686f5-b156-4048-923d-6dc77463e2f9,GEMBA Koichiro,Minister for Foreign Affairs,2011-09-02,2012-12-26,cabinet
6d6f696f-16bc-400d-affd-dcdf2f4a27a9,KOMURA Masahiko,Minister of Defense of Japan,"",,cabinet
b2f7e7d5-3a0d-4644-9725-c235116d72bd,IBUKI Bunmei,Minister of Finance,2008-08-02,2008-09-24,cabinet
b2f7e7d5-3a0d-4644-9725-c235116d72bd,IBUKI Bunmei,"Minister of Education, Culture, Sports, Science and Technology of Japan",2006-09-26,2007-09-26,cabinet
33df6fd1-0b45-44fc-af79-5170e7e42b82,EDANO Yukio,"Ministry of Economy, Trade and Industry","",,cabinet
33df6fd1-0b45-44fc-af79-5170e7e42b82,EDANO Yukio,Minister for Foreign Affairs,"",,cabinet
1be51db2-261f-4233-ad43-450ac60546ec,YAMAGUCHI Shunichi,Minister of State for Space Policy,2014-09-03,2015-10-07,cabinet
1be51db2-261f-4233-ad43-450ac60546ec,YAMAGUCHI Shunichi,Minister of State for Okinawa and Northern Territories Affairs,2014-09-03,2015-10-07,cabinet
1be51db2-261f-4233-ad43-450ac60546ec,YAMAGUCHI Shunichi,Minister of State for Science and Technology Policy,2014-09-03,2015-10-07,cabinet
1be51db2-261f-4233-ad43-450ac60546ec,YAMAGUCHI Shunichi,Minister of State for Consumer Affairs and Food Safety,2014-12-24,2015-10-07,cabinet
7a5ff7fc-7767-4b44-bc84-aa000ac150b7,HATOYAMA Kunio,Minister of Internal Affairs and Communications,2008-09-24,2009-06-12,cabinet
dc4b36f3-848c-4602-8132-00451eb3f09a,SHIONOYA Ryu,"Minister of Education, Culture, Sports, Science and Technology of Japan",2008-09-24,2009-09-16,cabinet
